subject_name,course_name,course_url
Art & Design,SAP Leonardo Design-Led Engagements Basics,/course/opensap-sap-leonardo-design-led-engagements-basics-10637
Art & Design,"World Music, Culture, & You: Finding Music Within Your Community",/course/edx-world-music-culture-you-finding-music-within-your-community-10459
Art & Design,Motion Design: Title Transformation,/course/kadenze-motion-design-title-transformation-7594
Art & Design,Selling and Protecting Typefaces,/course/kadenze-selling-and-protecting-typefaces-7617
Art & Design,Design Theory,/course/edx-design-theory-9438
Art & Design,North Indian Classical Music I: Fundamental Elements,/course/kadenze-north-indian-classical-music-i-fundamental-elements-9991
Art & Design,Sound Essentials,/course/kadenze-sound-essentials-7619
Art & Design,Introduction to Digital Fabrication and Technical Design,/course/kadenze-introduction-to-digital-fabrication-and-technical-design-9440
Art & Design,Digital to Physical: Repetition + Difference: Component-to-System Relationships,/course/kadenze-digital-to-physical-repetition-difference-component-to-system-relationships-8400
Art & Design,Four Facets of Contemporary Japanese Architecture: Technology,/course/edx-four-facets-of-contemporary-japanese-architecture-technology-6651
Art & Design,Designing for Mixed Reality,/course/kadenze-designing-for-mixed-reality-7608
Art & Design,Adobe Illustrator: aprende a crear presentaciones de impacto,/course/edx-adobe-illustrator-aprende-a-crear-presentaciones-de-impacto-11437
Art & Design,À la découverte du théâtre classique français – Tome 2,/course/edx-a-la-decouverte-du-theatre-classique-francais-tome-2-5701
Art & Design,North Indian Classical Music II: Raga Composition and Development,/course/kadenze-north-indian-classical-music-ii-raga-composition-and-development-9992
Art & Design,Basics of Design Testing,/course/opensap-basics-of-design-testing-9071
Art & Design,First Nights - Handel's Messiah and Baroque Oratorio,/course/edx-first-nights-handel-s-messiah-and-baroque-oratorio-4548
Art & Design,Piano III: Scales and Chords,/course/kadenze-piano-iii-scales-and-chords-7613
Art & Design,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,/course/edx-first-nights-beethoven-s-9th-symphony-and-the-19th-century-orchestra-5383
Art & Design,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,/course/edx-first-nights-berlioz-s-symphonie-fantastique-and-program-music-in-the-19th-century-6612
Art & Design,Motion Design: Animated GIFs,/course/kadenze-motion-design-animated-gifs-5891
Art & Design,"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",/course/edx-stravinsky-s-rite-of-spring-modernism-ballet-and-riots-7319
Art & Design,Fundamentals of Video Production,/course/kadenze-fundamentals-of-video-production-7620
Art & Design,Design Thinking: UX and Advanced Topics,/course/edx-design-thinking-ux-and-advanced-topics-11382
Art & Design,Basics of Design Research,/course/opensap-basics-of-design-research-6905
Art & Design,North Indian Classical Music III: Performance Practice,/course/kadenze-north-indian-classical-music-iii-performance-practice-9993
Art & Design,DigiFab 3D: How and When to 3D Print,/course/kadenze-digifab-3d-how-and-when-to-3d-print-9442
Art & Design,Fundamentals of Post-Production,/course/kadenze-fundamentals-of-post-production-7597
Art & Design,Le solfège à votre portée,/course/independent-le-solfege-a-votre-portee-14443
Art & Design,Listen up! How to Launch and Grow a Hit Podcast,/course/independent-listen-up-how-to-launch-and-grow-a-hit-podcast-12070
Art & Design,"Making Meaning: An Introduction to Designing Objects, Part I",/course/kadenze-making-meaning-an-introduction-to-designing-objects-part-i-4996
Art & Design,User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,/course/edx-user-experience-ux-design-human-factors-and-culture-in-design--2625
Art & Design,Fundamentals of Communication Acoustics,/course/edx-fundamentals-of-communication-acoustics-9291
Art & Design,Human-Centered Design: From Synthesis to Creative Ideas,/course/openhpi-human-centered-design-from-synthesis-to-creative-ideas-11179
Art & Design,Software Design for Non-Designers,/course/opensap-software-design-for-non-designers-6412
Art & Design,การออกแบบสื่อสามมิติด้วยโปรแกรม Blender 3D (3D Media design with Blender 3D),/course/thaimooc------blender-3d-3d-media-design-with-blender-3d-14934
Art & Design,IMAGE | ABILITY - Visualizing the Unimaginable,/course/edx-image-ability-visualizing-the-unimaginable-5317
Art & Design,Models in Architecture – design through physical & digital models,/course/edx-models-in-architecture-design-through-physical-digital-models-8085
Art & Design,Basic 3D Modeling using Blender,/course/edx-basic-3d-modeling-using-blender-10315
Art & Design,Teaching Critical Thinking through Art with the National Gallery of Art,/course/edx-teaching-critical-thinking-through-art-with-the-national-gallery-of-art-12637
Art & Design,Basic 3D Animation using Blender,/course/edx-basic-3d-animation-using-blender-10317
Art & Design,Design Practice in Business: Spark Innovation like a Designer,/course/edx-design-practice-in-business-spark-innovation-like-a-designer-6345
Art & Design,"Disability and Digital Media: Accessibility, Representation and Inclusion",/course/edx-disability-and-digital-media-accessibility-representation-and-inclusion-12665
Art & Design,User Interface (UI) Personalization,/course/edx-user-interface-ui-personalization-9945
Art & Design,Europeana Space: Creative with Digital Heritage,/course/edx-europeana-space-creative-with-digital-heritage-6846
Art & Design,ตกแต่งและสร้างภาพอย่างสร้างสรรค์ด้วยโปรแกรม GIMP (Creative Photo Development with GIMP),/course/thaimooc--------gimp-creative-photo-development-with-gimp-14999
Art & Design,Flower Arrangements in China and Japan | 现代生活美学：花之道,/course/edx-flower-arrangements-in-china-and-japan---11430
Art & Design,การผลิตสื่อกราฟิกอย่างมืออาชีพ (Graphic Design Crash Course),/course/thaimooc--------graphic-design-crash-course-15045
Art & Design,Hong Kong Cinema through a Global Lens | 全球化下的香港电影,/course/edx-hong-kong-cinema-through-a-global-lens--7875
Art & Design,Star Trek: Inspiring Culture and Technology,/course/edx-star-trek-inspiring-culture-and-technology-13104
Art & Design,"Drawing Nature, Science and Culture: Natural History Illustration 101",/course/edx-drawing-nature-science-and-culture-natural-history-illustration-101-7073
Art & Design,Music Theory for Beginners,/course/kadenze-music-theory-for-beginners-13524
Art & Design,Be Visual! Sketching Basics for IT Business,/course/opensap-be-visual-sketching-basics-for-it-business-8944
Art & Design,"Ableton Live 10, Part 2: Recording & Warping",/course/kadenze-ableton-live-10-part-2-recording-warping-13525
Art & Design,"Ableton Live 10, Part 3: Editing & Producing",/course/kadenze-ableton-live-10-part-3-editing-producing-13526
Art & Design,You Can Draw Anything in 3 Simple Steps,/course/kadenze-you-can-draw-anything-in-3-simple-steps-13527
Art & Design,Introduction to Guitar Performance ,/course/kadenze-introduction-to-guitar-performance-13528
Art & Design,Music Theory Level 1: Part Four,/course/kadenze-music-theory-level-1-part-four-13529
Art & Design,Music Theory Level 1: Part One,/course/kadenze-music-theory-level-1-part-one-13530
Art & Design,Music Theory Level 1: Part Three,/course/kadenze-music-theory-level-1-part-three-13531
Art & Design,Music Theory Level 1: Part Two,/course/kadenze-music-theory-level-1-part-two-13532
