subject_name,course_name,course_url
Health & Medicine,Medicine and the Arts: Humanising Healthcare,/course/medicine-and-the-arts-3015
Health & Medicine,Epidemiology: The Basic Science of Public Health,/course/epidemiology-733
Health & Medicine,"Sit Less, Get Active",/course/get-active-5260
Health & Medicine,Nutrition and Health: Macronutrients and Overnutrition,/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154
Health & Medicine,Epidemics - the Dynamics of Infectious Diseases,/course/epidemics-678
Health & Medicine,Community Change in Public Health,/course/communitychange-397
Health & Medicine,Becoming a Resilient Person: The Science of Stress Management and Promoting Wellbeing,/course/edx-becoming-a-resilient-person-the-science-of-stress-management-and-promoting-wellbeing-1927
Mathematics,Estadística Aplicada a los Negocios,/course/edx-estadistica-aplicada-a-los-negocios-10270
Mathematics,Nonlinear Dynamics: Mathematical and Computational Approaches,/course/complexity-explorer-nonlinear-dynamics-mathematical-and-computational-approaches-1195
Mathematics,Matrix Algebra for Engineers,/course/matrix-algebra-engineers-11986
Mathematics,Intro to Statistics,/course/udacity-intro-to-statistics-361
Mathematics,Introduction to Mathematical Thinking,/course/maththink-370
Mathematics,Fibonacci Numbers and the Golden Ratio,/course/fibonacci-6684
Mathematics,Statistical Learning,/course/stanford-openedx-statistical-learning-1579
Mathematics,Tutorials for Complex Systems,/course/complexity-explorer-tutorials-for-complex-systems-1194
Mathematics,"Precalculus: the Mathematics of Numbers, Functions and Equations",/course/precalculus-8988
Mathematics,Introduction to Probability - The Science of Uncertainty,/course/edx-introduction-to-probability-the-science-of-uncertainty-1496
Mathematics,Mathematical Biostatistics Boot Camp 1,/course/biostats-596
Mathematics,Bases Matemáticas: Números y terminología,/course/edx-bases-matematicas-numeros-y-terminologia-2955
Mathematics,Introduction to Algebra,/course/edx-introduction-to-algebra-2526
Mathematics,Differential Equations for Engineers,/course/differential-equations-engineers-13258
Mathematics,College Algebra,/course/udacity-college-algebra-630
Art & Design,Gamification,/course/gamification-343
Programming,Introduction to VBA/Excel Programming,/course/open-education-by-blackboard-introduction-to-vba-excel-programming-1797
Programming,Introduction to HTML5,/course/introhtml-4307
Programming,"Programming Languages, Part A",/course/programming-languages-452
Programming,Computing in Python IV: Objects & Algorithms,/course/edx-computing-in-python-iv-objects-algorithms-11472
Programming,Python for Everybody - Exploring Information,/course/independent-python-for-everybody-exploring-information-7363
Programming,"C++ For C Programmers, Part A",/course/c-plus-plus-a-671
Programming,Computing in Python II: Control Structures,/course/edx-computing-in-python-ii-control-structures-11470
Programming,JavaScript Basics,/course/udacity-javascript-basics-2660
Programming,Agile Development Using Ruby on Rails - The Basics,/course/edx-agile-development-using-ruby-on-rails-the-basics-443
Programming,Android: Introducción a la Programación,/course/edx-android-introduccion-a-la-programacion-2964
Programming,Introducción a la programación orientada a objetos en Java,/course/introduccion-programacion-java-9065
Programming,Creative Programming for Digital Media & Mobile Apps,/course/digitalmedia-529
Programming,Computing in Python III: Data Structures,/course/edx-computing-in-python-iii-data-structures-11471
Programming,Developing Android Apps,/course/udacity-developing-android-apps-2211
Programming,Programming Basics,/course/edx-programming-basics-1650
Programming,Object-Oriented JavaScript,/course/udacity-object-oriented-javascript-2658
Programming,Introduction to Functional Programming,/course/edx-introduction-to-functional-programming-2147
Programming,Programming Languages,/course/udacity-programming-languages-325
Programming,Introduction to Programming for the Visual Arts with p5.js,/course/kadenze-introduction-to-programming-for-the-visual-arts-with-p5-js-3770
Programming,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",/course/website-coding-4191
Engineering,Introduction to Engineering Mechanics,/course/statics1-564
Social Sciences,What is a Mind?,/course/what-is-a-mind-3314
Health & Medicine,Wellness Coaching: Powerful Skills for Everyday People,/course/canvas-network-wellness-coaching-powerful-skills-for-everyday-people-5170
Health & Medicine,Dentistry 101,/course/dentistry101-13058
Health & Medicine,Guided Imagery,/course/guided-imagery-12871
Health & Medicine,Herbal Medicine,/course/herbalmedicine-12872
Health & Medicine,食品安全與毒理 (Food Safety & Toxicology),/course/foodsafetytox-2941
Health & Medicine,Case Studies in Personalized Medicine,/course/personalizedmed-2573
Health & Medicine,Ageing Well: Falls,/course/falls-2500
Health & Medicine,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,/course/gender-based-violence-3471
Health & Medicine,The Social Context of Mental Health and Illness,/course/mentalhealth-400
Health & Medicine,Data Management for Clinical Research,/course/datamanagement-540
Health & Medicine,The Challenges of Global Health,/course/challengesgh-2376
Health & Medicine,Foundations for Global Health Responders,/course/ghresponder-3283
Health & Medicine,Career 911: Your Future Job in Medicine and Healthcare,/course/healthcarejobs-3084
Health & Medicine,Feeding the World,/course/feedingtheworld-3913
Health & Medicine,Disease Screening in Public Health,/course/screening-4793
Health & Medicine,eHealth: More than just an electronic record,/course/ehealth-6876
Health & Medicine,Основы вирусологии (Introduction to Virology),/course/nsu-virology-4452
Health & Medicine,Principles of fMRI 1,/course/fmri1-4397
Health & Medicine,Interprofessional Healthcare Informatics ,/course/newwayhealthcare-657
Mathematics,How to Learn Math: For Students,/course/stanford-openedx-how-to-learn-math-for-students-917
Mathematics,Queuing Theory: from Markov Chains to Multi-Server Systems,/course/edx-queuing-theory-from-markov-chains-to-multi-server-systems-10079
Mathematics,Effective Thinking Through Mathematics,/course/edx-effective-thinking-through-mathematics-1335
Mathematics,Intro to Descriptive Statistics,/course/udacity-intro-to-descriptive-statistics-2309
Mathematics,Introduction to Renormalization,/course/complexity-explorer-introduction-to-renormalization-11490
Mathematics,Linear Algebra - Foundations to Frontiers,/course/edx-linear-algebra-foundations-to-frontiers-1337
Mathematics,Introduction to Differential Equations,/course/complexity-explorer-introduction-to-differential-equations-11477
Mathematics,Maximum Entropy Methods,/course/complexity-explorer-maximum-entropy-methods-11479
Mathematics,Bases Matemáticas: Álgebra,/course/edx-bases-matematicas-algebra-2968
Mathematics,Bases Matemáticas: Derivadas,/course/edx-bases-matematicas-derivadas-2969
Mathematics,Intro Algebra Review,/course/udacity-intro-algebra-review-2666
Mathematics,Intro to Inferential Statistics,/course/udacity-intro-to-inferential-statistics-2310
Mathematics,Introduction to Linear Models and Matrix Algebra,/course/edx-introduction-to-linear-models-and-matrix-algebra-2963
Art & Design,Sustainability in Architecture: An Interdisciplinary Introduction,/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438
Art & Design,Introduction to Real-Time Audio Programming in ChucK,/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
Art & Design,Sound Production in Ableton Live for Musicians and Artists,/course/kadenze-sound-production-in-ableton-live-for-musicians-and-artists-3765
Art & Design,Radio para internet con Podcast: creación y conceptos básicos,/course/edx-radio-para-internet-con-podcast-creacion-y-conceptos-basicos-11824
Art & Design,Introduction to Graphic Illustration,/course/kadenze-introduction-to-graphic-illustration-3773
Art & Design,Programming Max: Structuring Interactive Software for Digital Arts,/course/kadenze-programming-max-structuring-interactive-software-for-digital-arts-6411
Art & Design,Design: Creation of Artifacts in Society,/course/design-371
Art & Design,Roman Architecture,/course/romanarchitecture-910
Art & Design,Comics: Art in Relationship,/course/kadenze-comics-art-in-relationship-3775
Art & Design,Intro to the Design of Everyday Things,/course/udacity-intro-to-the-design-of-everyday-things-1044
Art & Design,A Global History of Architecture,/course/edx-a-global-history-of-architecture-928
Art & Design,Introduction to Graphic Design History,/course/kadenze-introduction-to-graphic-design-history-5892
Art & Design,Sound Synthesis Using Reaktor,/course/kadenze-sound-synthesis-using-reaktor-3766
Art & Design,The Modern Genius: Art and Culture in the 19th Century,/course/kadenze-the-modern-genius-art-and-culture-in-the-19th-century-3747
Art & Design,Fundamentals of Music Theory,/course/musictheory-1358
Art & Design,Sexing the Canvas: Art and Gender,/course/sexingthecanvas-4053
Art & Design,Composición de canciones,/course/composicion-canciones-4871
Art & Design,Introducción a la producción de música,/course/music-productiones-4624
Art & Design,Introduction to UI Design,/course/ui-design-6890
Art & Design,Developing Your Musicianship: Final Project,/course/musicianship-final-project-7052
Programming,Data Wrangling with MongoDB,/course/udacity-data-wrangling-with-mongodb-1479
Programming,Responsive Web Design Fundamentals,/course/udacity-responsive-web-design-fundamentals-3255
Programming,Java Programming Basics,/course/udacity-java-programming-basics-6686
Programming,Introduction to Bootstrap - A Tutorial,/course/edx-introduction-to-bootstrap-a-tutorial-3338
Programming,Using Python for Research,/course/edx-using-python-for-research-7204
Programming,Software Processes and Agile Practices,/course/software-processes-and-agile-practices-4187
Programming,Full Stack Foundations,/course/udacity-full-stack-foundations-3254
Programming,Introducción al desarrollo de videojuegos con Unity,/course/edx-introduccion-al-desarrollo-de-videojuegos-con-unity-5345
Programming,HTML5 Coding Essentials and Best Practices,/course/edx-html5-coding-essentials-and-best-practices-3444
Programming,基于Unity引擎的游戏开发基础,/course/unity-yinqing-youxi-kaifa-5914
Programming,The Development of Mobile Health Monitoring Systems,/course/mobile-health-monitoring-systems-12685
Programming,面向对象技术高级课程（The Advanced Object-Oriented Technology）,/course/aoo-1737
Programming,Java Programming: Principles of Software Design,/course/java-programming-design-principles-4323
Programming,Build Your First Android App (Project-Centered Course),/course/android-app-5719
Programming,Web Application Development: Basic Concepts,/course/webapps1-5497
Programming,Agile Development in Practice (Project-centered Course),/course/uva-darden-agile-development-capstone-5567
Engineering,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,/course/mechanics-1-5031
Engineering,Circuits and Electronics 1: Basic Circuit Analysis,/course/edx-circuits-and-electronics-1-basic-circuit-analysis-444
Engineering,Agile for Project Control,/course/edx-agile-for-project-control-11921
Engineering,Matrix Algebra for Engineers,/course/matrix-algebra-engineers-11986
Engineering,Applications in Engineering Mechanics,/course/statics2-1148
Engineering,Introducción a los encofrados y las cimbras en obra civil y edificación,/course/edx-introduccion-a-los-encofrados-y-las-cimbras-en-obra-civil-y-edificacion-11880
Engineering,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",/course/materials-structures-6188
Engineering,Artificial Intelligence for Robotics,/course/udacity-artificial-intelligence-for-robotics-319
Engineering,Building a Future with Robots,/course/robotic-future-6721
Engineering,Control of Mobile Robots,/course/conrob-404
Engineering,The Art of Structural Engineering: Vaults,/course/edx-the-art-of-structural-engineering-vaults-12040
Engineering,Introdução ao Controle Moderno,/course/controle-moderno-8482
Engineering,Embedded Systems - Shape The World: Microcontroller Input/Output,/course/edx-embedded-systems-shape-the-world-microcontroller-input-output-1484
Engineering,Differential Equations for Engineers,/course/differential-equations-engineers-13258
Engineering,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,/course/3dmotion-2064
Social Sciences,HOPE: Human Odyssey to Political Existentialism,/course/edx-hope-human-odyssey-to-political-existentialism-11584
Social Sciences,Model Thinking,/course/modelthinking-317
Social Sciences,Social Psychology,/course/socialpsychology-555
Social Sciences,EU policy and implementation: making Europe work! ,/course/eu-making-europe-work-7408
Social Sciences,Justice,/course/edx-justice-610
Social Sciences,AP® Microeconomics,/course/edx-ap-microeconomics-8630
Social Sciences,Positive Psychology ,/course/positivepsych-2943
Social Sciences,Buddhism and Modern Psychology ,/course/science-of-meditationm-1355
Social Sciences,The Science of Happiness,/course/edx-the-science-of-happiness-1781
Social Sciences,Miracles of Human Language: An Introduction to Linguistics,/course/humanlanguage-2940
Social Sciences,Intro to Psychology,/course/udacity-intro-to-psychology-830
Social Sciences,The Age of Sustainable Development,/course/susdev-1533
Social Sciences,Game Theory,/course/game-theory-1-308
Social Sciences,Paradoxes of War,/course/warparadoxes-1361
Health & Medicine,Global Health: An Interdisciplinary Overview,/course/globalhealthoverview-685
Health & Medicine,Diabetes - a Global Challenge,/course/diabetes-664
Health & Medicine,Training and Learning Programs for Volunteer Community Health Workers,/course/commhealthworkers-1038
Health & Medicine,Preventing Chronic Pain: A Human Systems Approach,/course/chronicpain-1769
Health & Medicine,Understanding Cancer Metastasis,/course/cancer-metastasis-7624
Health & Medicine,Diabetes – the Essential Facts,/course/diabetes-essential-facts-7632
Health & Medicine,Infant Nutrition: from Breastfeeding to Baby's First Solids,/course/infant-nutrition-7646
Health & Medicine,Stories of Infection,/course/stories-of-infection-8444
Health & Medicine,全球卫生导论,/course/quanqiu-weisheng-7295
Health & Medicine,Health in Complex Humanitarian Emergencies,/course/health-che-7416
Mathematics,Introduction to Complex Analysis,/course/complex-analysis-6418
Mathematics,离散数学概论 Discrete Mathematics Generality,/course/dmathgen-4431
Mathematics,Math behind Moneyball,/course/mathletics-4421
Mathematics,Structural Equation Model and its Applications | 结构方程模型及其应用 (普通话),/course/jiegou-fangcheng-moxing-696
Mathematics,頑想學概率：機率一 (Probability (1)),/course/prob1-7800
Mathematics,Introduction to Enumerative Combinatorics,/course/enumerative-combinatorics-7774
Mathematics,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,/course/crash-course-in-causality-8425
Mathematics,頑想學概率：機率二 (Probability (2)),/course/prob2-8307
Mathematics,Estadística aplicada a los negocios,/course/estadistica-aplicada-negocios-7079
Mathematics,Линейная алгебра и аналитическая геометрия,/course/lineynaya-algebra-10791
Mathematics,Engineering Calculus and Differential Equations,/course/edx-engineering-calculus-and-differential-equations-12335
Mathematics,Введение в математические методы физики,/course/vvedenie-v-mat-metody-9890
Mathematics,Статистические методы в гуманитарных исследованиях,/course/statistics-for-humanities-10182
Mathematics,Matrix Methods,/course/matrix-methods-13644
